id,1997-1998,1998-2001,2001-2002,2002-2005,2005-2006,2006-2009,2009-2010,縣市,鄉鎮,1994藍代表,1994綠代表,1994藍得票,1994綠得票,1997藍代表,1997綠代表,1997藍得票,1997綠得票,1998藍代表,1998綠代表,1998藍得票,1998綠得票,2001藍代表,2001綠代表,2001藍得票,2001綠得票,2002藍代表,2002綠代表,2002藍得票,2002綠得票,2005藍代表,2005綠代表,2005藍得票,2005綠得票,2006藍代表,2006綠代表,2006藍得票,2006綠得票,2009藍代表,2009綠代表,2009藍得票,2009綠得票,2010藍代表,2010綠代表,2010藍得票,2010綠得票
65000230,54.155558131448,54.155558131448,45.181918412348,45.181918412348,53.271338425772,53.271338425772,53.271338425772,,臺北縣,八里鄉,,,,,4672,3955,"謝深山 楊泰順",蘇貞昌,,,,,6147,7458,王建煊,蘇貞昌,,,,,8020,7035,周錫瑋,羅文嘉,,,,,,,,,9377,8987,朱立倫,蔡英文
65000240,50.56270096463,50.56270096463,34.785295026259,34.785295026259,49.805730937348,49.805730937348,49.805730937348,,臺北縣,平溪鄉,,,,,1258,1230,"謝深山 楊泰順",蘇貞昌,,,,,1126,2111,王建煊,蘇貞昌,,,,,2051,2067,周錫瑋,羅文嘉,,,,,,,,,1654,1930,朱立倫,蔡英文
65000250,49.827060020346,49.827060020346,42.538405267008,42.538405267008,52.639545884579,52.639545884579,52.639545884579,,臺北縣,雙溪鄉,,,,,2449,2466,"謝深山 楊泰順",蘇貞昌,,,,,2326,3142,王建煊,蘇貞昌,,,,,2782,2503,周錫瑋,羅文嘉,,,,,,,,,3053,2982,朱立倫,蔡英文
65000260,37.343567495411,37.343567495411,34.681907053692,34.681907053692,42.877650176678,42.877650176678,42.877650176678,,臺北縣,貢寮鄉,,,,,2238,3755,"謝深山 楊泰順",蘇貞昌,,,,,2306,4343,王建煊,蘇貞昌,,,,,3883,5173,周錫瑋,羅文嘉,,,,,,,,,3287,5117,朱立倫,蔡英文
65000270,50.901694915254,50.901694915254,38.506334286882,38.506334286882,54.955032119914,54.955032119914,54.955032119914,,臺北縣,金山鄉,,,,,3754,3621,"謝深山 楊泰順",蘇貞昌,,,,,3769,6019,王建煊,蘇貞昌,,,,,6416,5259,周錫瑋,羅文嘉,,,,,,,,,5944,6672,朱立倫,蔡英文
65000280,57.10440572319,57.10440572319,44.616083598364,44.616083598364,58.239366963403,58.239366963403,58.239366963403,,臺北縣,萬里鄉,,,,,4031,3028,"謝深山 楊泰順",蘇貞昌,,,,,3928,4876,王建煊,蘇貞昌,,,,,5888,4222,周錫瑋,羅文嘉,,,,,,,,,6398,5952,朱立倫,蔡英文
65000290,64.75300400534,64.75300400534,47.42883379247,47.42883379247,64.620187304891,64.620187304891,64.620187304891,,臺北縣,烏來鄉,,,,,970,528,"謝深山 楊泰順",蘇貞昌,,,,,1033,1145,王建煊,蘇貞昌,,,,,1863,1020,周錫瑋,羅文嘉,,,,,,,,,2209,1248,朱立倫,蔡英文
10002010,51.364520187579,51.364520187579,55.034284561863,55.034284561863,57.237288506577,57.237288506577,52.117370412023,,宜蘭縣,宜蘭市,,,,,22454,21261,廖風德,劉守成,,,,,21831,17837,呂國華,劉守成,,,,,26150,19537,呂國華,陳定南,,,,,25488,23417,呂國華,林聰賢,,,,
10002020,43.665082042631,43.665082042631,42.974845305354,42.974845305354,48.049707602339,48.049707602339,41.542896362388,,宜蘭縣,羅東鎮,,,,,14237,18368,廖風德,劉守成,,,,,12779,16957,呂國華,劉守成,,,,,16433,17767,呂國華,陳定南,,,,,15132,21293,呂國華,林聰賢,,,,
10002030,44.99612102405,44.99612102405,43.934570742935,43.934570742935,52.368488801167,52.368488801167,44.558184879908,,宜蘭縣,蘇澳鎮,,,,,10440,12762,廖風德,劉守成,,,,,8971,11448,呂國華,劉守成,,,,,12205,11101,呂國華,陳定南,,,,,10055,12511,呂國華,林聰賢,,,,
