村里,當選人,落選人,偏藍比率,藍得票數,綠得票數,COUNTY_ID,TOWN_ID,VILLAGE_ID,OBJECT_ID
宜蘭縣頭城鎮合興里,呂國華,林聰賢,0.62612612612613,139,83,10002,10002040,004,330
宜蘭縣頭城鎮更新里,呂國華,林聰賢,0.66628571428571,583,292,10002,10002040,005,331
宜蘭縣頭城鎮外澳里,呂國華,林聰賢,0.65836298932384,370,192,10002,10002040,006,332
宜蘭縣頭城鎮港口里,呂國華,林聰賢,0.67260579064588,302,147,10002,10002040,007,333
宜蘭縣頭城鎮武營里,呂國華,林聰賢,0.75421209117939,761,248,10002,10002040,008,334
宜蘭縣頭城鎮大坑里,呂國華,林聰賢,0.70679380214541,593,246,10002,10002040,009,335
宜蘭縣頭城鎮城東里,呂國華,林聰賢,0.68073394495413,371,174,10002,10002040,010,3346
宜蘭縣頭城鎮城北里,呂國華,林聰賢,0.71045576407507,265,108,10002,10002040,011,336
宜蘭縣頭城鎮城西里,呂國華,林聰賢,0.76059322033898,359,113,10002,10002040,012,337
宜蘭縣頭城鎮城南里,呂國華,林聰賢,0.73784355179704,349,124,10002,10002040,013,338
宜蘭縣頭城鎮竹安里,呂國華,林聰賢,0.62008032128514,772,473,10002,10002040,014,339
宜蘭縣頭城鎮新建里,呂國華,林聰賢,0.64240506329114,812,452,10002,10002040,015,340
宜蘭縣頭城鎮拔雅里,呂國華,林聰賢,0.65098777046096,692,371,10002,10002040,016,341
宜蘭縣頭城鎮福成里,呂國華,林聰賢,0.62848297213622,406,240,10002,10002040,017,342
宜蘭縣頭城鎮金面里,呂國華,林聰賢,0.67056705670567,745,366,10002,10002040,018,343
宜蘭縣頭城鎮金盈里,呂國華,林聰賢,0.59677419354839,296,200,10002,10002040,019,344
宜蘭縣頭城鎮頂埔里,呂國華,林聰賢,0.60751565762004,582,376,10002,10002040,020,345
宜蘭縣頭城鎮下埔里,呂國華,林聰賢,0.59192825112108,396,273,10002,10002040,021,346
宜蘭縣頭城鎮中崙里,呂國華,林聰賢,0.63853727144866,454,257,10002,10002040,022,347
宜蘭縣頭城鎮二城里,呂國華,林聰賢,0.5758865248227,406,299,10002,10002040,023,348
宜蘭縣礁溪鄉白雲村,呂國華,林聰賢,0.50910931174089,503,485,10002,10002050,001,7796
宜蘭縣礁溪鄉玉石村,呂國華,林聰賢,0.50636363636364,557,543,10002,10002050,002,350
宜蘭縣礁溪鄉德陽村,呂國華,林聰賢,0.60235704932344,1380,911,10002,10002050,003,351
宜蘭縣礁溪鄉大忠村,呂國華,林聰賢,0.62787550744249,928,550,10002,10002050,004,352
宜蘭縣礁溪鄉大義村,林聰賢,呂國華,0.49180327868852,240,248,10002,10002050,005,353
宜蘭縣礁溪鄉六結村,呂國華,林聰賢,0.59820538384845,600,403,10002,10002050,006,354
宜蘭縣礁溪鄉二龍村,林聰賢,呂國華,0.43103448275862,350,462,10002,10002050,007,355
宜蘭縣礁溪鄉時潮村,林聰賢,呂國華,0.43139293139293,415,547,10002,10002050,008,356
宜蘭縣礁溪鄉玉田村,林聰賢,呂國華,0.33537989255564,437,866,10002,10002050,009,357
宜蘭縣礁溪鄉三民村,林聰賢,呂國華,0.49626865671642,798,810,10002,10002050,010,358
宜蘭縣礁溪鄉林美村,林聰賢,呂國華,0.44043321299639,366,465,10002,10002050,011,359
宜蘭縣礁溪鄉白鵝村,林聰賢,呂國華,0.47773279352227,236,258,10002,10002050,012,360
宜蘭縣礁溪鄉玉光村,林聰賢,呂國華,0.36267071320182,239,420,10002,10002050,013,361
宜蘭縣礁溪鄉光武村,林聰賢,呂國華,0.46325459317585,353,409,10002,10002050,014,362
宜蘭縣礁溪鄉吳沙村,林聰賢,呂國華,0.44658385093168,719,891,10002,10002050,015,363
宜蘭縣礁溪鄉龍潭村,林聰賢,呂國華,0.34952978056426,669,1245,10002,10002050,016,364
宜蘭縣礁溪鄉匏崙村,林聰賢,呂國華,0.44145569620253,279,353,10002,10002050,017,365
宜蘭縣礁溪鄉二結村,林聰賢,呂國華,0.27272727272727,81,216,10002,10002050,018,366
宜蘭縣壯圍鄉吉祥村,林聰賢,呂國華,0.46443268665491,790,911,10002,10002060,001,314
宜蘭縣壯圍鄉古結村,林聰賢,呂國華,0.44052287581699,337,428,10002,10002060,014,378
宜蘭縣壯圍鄉美福村,林聰賢,呂國華,0.45574534161491,587,701,10002,10002060,002,315
宜蘭縣壯圍鄉新南村,林聰賢,呂國華,0.45130315500686,329,400,10002,10002060,003,316
宜蘭縣壯圍鄉東港村,林聰賢,呂國華,0.43724137931034,317,408,10002,10002060,004,317
宜蘭縣壯圍鄉復興村,林聰賢,呂國華,0.42340926944226,539,734,10002,10002060,005,418
宜蘭縣壯圍鄉過嶺村,林聰賢,呂國華,0.44954128440367,539,660,10002,10002060,006,419
宜蘭縣壯圍鄉永鎮村,林聰賢,呂國華,0.40552995391705,264,387,10002,10002060,007,420
宜蘭縣壯圍鄉忠孝村,林聰賢,呂國華,0.4609375,767,897,10002,10002060,008,421
宜蘭縣壯圍鄉古亭村,林聰賢,呂國華,0.42857142857143,474,632,10002,10002060,009,422
宜蘭縣壯圍鄉功勞村,林聰賢,呂國華,0.39976553341149,341,512,10002,10002060,010,423
宜蘭縣壯圍鄉美城村,林聰賢,呂國華,0.41672025723473,648,907,10002,10002060,011,375
